Entity,Code,Year,month,dates,Total_Meat_Consumption
Iran,IRN,1981,January,January-1981,877968000
Iran,IRN,1982,January,January-1982,911906820
Iran,IRN,1983,January,January-1983,957832150
Iran,IRN,1984,January,January-1984,933105960
Iran,IRN,1985,January,January-1985,907168520
Iran,IRN,1986,January,January-1986,995052000.0000001
Iran,IRN,1987,January,January-1987,980365099.9999999
Iran,IRN,1988,January,January-1988,988293739.9999999
Iran,IRN,1989,January,January-1989,1053130620
Iran,IRN,1990,January,January-1990,1110973860
Iran,IRN,1991,January,January-1991,1162808640
Iran,IRN,1992,January,January-1992,1299037999.9999998
Iran,IRN,1993,January,January-1993,1389777480
Iran,IRN,1994,January,January-1994,1380262979.9999998
Iran,IRN,1995,January,January-1995,1394141670
Iran,IRN,1996,January,January-1996,1508784900
Iran,IRN,1997,January,January-1997,1559459200
Iran,IRN,1998,January,January-1998,1598660280.0000002
Iran,IRN,1999,January,January-1999,1504031210
Iran,IRN,2000,January,January-2000,1566421010
Iran,IRN,2001,January,January-2001,1672521330
Iran,IRN,2002,January,January-2002,1709711849.9999998
Iran,IRN,2003,January,January-2003,1895181859.9999998
Iran,IRN,2004,January,January-2004,2005784590.0000002
Iran,IRN,2005,January,January-2005,2063559960
Iran,IRN,2006,January,January-2006,2155455250
Iran,IRN,2007,January,January-2007,2304152800.0000005
Iran,IRN,2008,January,January-2008,2232866160.0000005
Iran,IRN,2009,January,January-2009,2626758499.9999995
Iran,IRN,2010,January,January-2010,2570640549.9999995
Iran,IRN,2011,January,January-2011,2639839950.0000005
Iran,IRN,2012,January,January-2012,2495086200
Iran,IRN,2013,January,January-2013,2514728159.9999995
Iran,IRN,2014,January,January-2014,2587364400
Iran,IRN,2015,January,January-2015,2560409040
Iran,IRN,2016,January,January-2016,2762462080
