per_capita_land_use,Total_land_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Meat_Consumption,month,dates
7721.731467591481,156944192078.79684,Canada,CAN,1967,42.63,18.27,28.82,1.67,0.24,91.63,20325000,1862379750,January,January-1967
7849.194495831701,162282096201.3204,Canada,CAN,1968,43.19,17.85,28.3,1.91,0.25,91.5,20675000,1891762500,January,January-1968
7728.744234699481,162496847534.55658,Canada,CAN,1969,42.56,19.44,27.15,1.82,0.35,91.32,21025000,1920002999.9999998,January,January-1969
7531.214543590379,160972179654.70078,Canada,CAN,1970,41.17,20.43,31.05,1.72,0.22,94.59,21374000,2021766660,January,January-1970
7726.02394024314,167832418053.90173,Canada,CAN,1971,42.8,19.58,32.66,1.27,0.23,96.53999999999999,21723000,2097138419.9999998,January,January-1971
7802.667002207161,172220466072.71646,Canada,CAN,1972,42.88,19.83,31.35,1.68,0.25,95.99000000000001,22072000,2118691280.0000002,January,January-1972
7710.73502076828,172836125490.521,Canada,CAN,1973,42.77,20.2,29.39,1.38,0.23,93.97,22415000,2106337550,January,January-1973
7874.2294352525805,179107222734.2552,Canada,CAN,1974,44.17,19.76,30.64,0.97,0.21,95.75,22746000,2177929500,January,January-1974
8746.34084331062,201681873505.89957,Canada,CAN,1975,49.69,18.39,26.27,1.11,0.14,95.6,23059000,2204440400,January,January-1975
9204.280378820642,214965968247.35608,Canada,CAN,1976,52.6,19.45,27.26,0.91,0.34,100.56,23355000,2348578800,January,January-1976
8770.13966808084,207273480915.42255,Canada,CAN,1977,50.09,20.01,27.17,0.77,0.17,98.21000000000001,23634000,2321095140,January,January-1977
8214.309202619801,196338418561.0185,Canada,CAN,1978,46.6,20.52,28.23,0.77,0.21,96.33,23902000,2302479660,January,January-1978
7278.9337305114805,175866317862.88788,Canada,CAN,1979,40.4,21.9,31.76,0.94,0.18,95.18,24161000,2299643980,January,January-1979
7257.68853160148,177210980876.1133,Canada,CAN,1980,40.26,22.08,34.59,0.78,0.07,97.78,24417000,2387494260,January,January-1980
